epochs,accuracy,lossFunction
217,0.96,0.96
218,0.98,0.98
219,0.98,0.98
220,0.96,0.96
221,0.96,0.96
222,0.98,0.98
223,0.97,0.97
224,0.97,0.97
225,0.98,0.98
226,0.95,0.95
227,0.97,0.97
228,0.97,0.97
229,0.97,0.97
230,0.96,0.96
231,0.97,0.97
232,0.98,0.98
233,0.98,0.98
234,0.97,0.97
235,0.94,0.94
236,0.95,0.95
237,0.96,0.96
238,0.96,0.96
239,0.95,0.95
240,0.95,0.95
241,0.95,0.95
242,0.95,0.95
243,0.96,0.96
244,0.96,0.96
245,0.98,0.98
246,0.98,0.98
247,0.97,0.97
248,0.93,0.93
249,0.95,0.95
250,0.98,0.98
251,0.97,0.97
252,0.96,0.96
253,0.96,0.96
254,0.97,0.97
255,0.98,0.98
256,0.98,0.98
257,0.96,0.96
258,0.94,0.94
259,0.94,0.94
260,0.95,0.95
261,0.96,0.96
262,0.96,0.96
263,0.96,0.96
264,0.93,0.93
265,0.97,0.97
266,0.97,0.97
267,0.97,0.97
268,0.99,0.99
269,0.95,0.95
270,0.96,0.96
271,0.96,0.96
272,0.98,0.98
273,0.94,0.94
274,0.98,0.98
275,0.97,0.97
276,0.94,0.94
277,0.94,0.94
278,0.94,0.94
279,0.99,0.99
280,0.96,0.96
281,0.97,0.97
282,0.96,0.96
283,0.97,0.97
284,0.97,0.97
285,0.98,0.98
286,0.96,0.96
287,0.99,0.99
288,0.97,0.97
289,0.98,0.98
290,0.94,0.94
291,0.95,0.95
292,0.96,0.96
293,0.96,0.96
294,0.97,0.97
295,0.99,0.99
296,0.96,0.96
297,0.94,0.94
298,0.96,0.96
299,0.96,0.96
300,0.95,0.95
301,0.98,0.98
302,0.95,0.95
303,0.96,0.96
304,0.97,0.97
305,0.96,0.96
306,0.96,0.96
307,0.94,0.94
308,0.95,0.95
309,0.95,0.95
310,0.96,0.96
311,0.94,0.94
312,0.95,0.95
313,0.96,0.96
314,0.96,0.96
315,0.97,0.97
316,0.96,0.96
317,0.96,0.96
318,0.96,0.96
319,0.96,0.96
320,0.95,0.95
321,0.96,0.96
322,0.96,0.96
323,0.98,0.98
324,0.97,0.97
325,0.96,0.96
326,0.99,0.99
327,0.93,0.93
328,0.96,0.96
329,0.98,0.98
330,0.95,0.95
331,0.96,0.96
332,0.94,0.94
333,0.97,0.97
334,0.96,0.96
335,0.97,0.97
336,0.97,0.97
337,0.96,0.96
338,0.96,0.96
339,0.95,0.95
340,0.97,0.97
341,0.98,0.98
342,0.98,0.98
343,0.97,0.97
344,0.96,0.96
345,0.98,0.98
346,0.95,0.95
347,0.96,0.96
348,0.99,0.99
349,0.97,0.97
350,0.96,0.96
351,0.98,0.98
352,0.97,0.97
353,0.99,0.99
354,0.97,0.97
355,0.98,0.98
356,0.94,0.94
357,0.97,0.97
358,0.97,0.97
359,0.96,0.96
360,0.98,0.98
361,0.95,0.95
362,0.99,0.99
363,0.99,0.99
364,0.95,0.95
365,0.97,0.97
366,0.97,0.97
367,0.98,0.98
368,0.94,0.94
369,0.97,0.97
370,0.92,0.92
371,0.97,0.97
372,0.97,0.97
373,0.98,0.98
374,0.96,0.96
375,0.98,0.98
376,0.97,0.97
377,0.95,0.95
378,0.95,0.95
379,0.95,0.95
380,0.96,0.96
381,0.97,0.97
382,0.94,0.94
383,0.97,0.97
384,0.97,0.97
385,0.97,0.97
386,0.94,0.94
387,0.97,0.97
388,0.99,0.99
389,0.97,0.97
390,0.96,0.96
391,0.96,0.96
392,0.96,0.96
393,0.97,0.97
394,0.97,0.97
395,0.94,0.94
396,0.94,0.94
397,0.98,0.98
398,0.98,0.98
399,0.97,0.97
400,0.95,0.95
401,0.95,0.95
402,0.97,0.97
403,0.98,0.98
404,0.98,0.98
405,0.99,0.99
406,0.94,0.94
407,0.95,0.95
408,0.98,0.98
409,0.97,0.97
410,0.95,0.95
411,0.98,0.98
412,0.96,0.96
413,0.95,0.95
414,0.97,0.97
415,0.96,0.96
416,0.98,0.98
417,0.99,0.99
418,0.96,0.96
419,0.98,0.98
420,0.96,0.96
421,0.97,0.97
422,0.97,0.97
423,0.96,0.96
424,0.97,0.97
425,0.97,0.97
426,0.97,0.97
427,0.96,0.96
